"Species","Family","Order","Wing_length","Mass","Habitat","Trophic_level","Trophic_niche","HWI","Raw_CRB","Raw_certainty","CRB","Certainty","CRB_Final","brain_volume_mm3","brain.mass.g","brain_mass_calculated"
"Acridotheres_melanopterus","Sturnidae","Passeriformes",124.2,89,"Woodland","Herbivore","Omnivore",22.9,1,1,1,1,"1",NA,NA,NA
"Acridotheres_tertius","Sturnidae","Passeriformes",124.2,89,"Grassland","Omnivore","Omnivore",22.9,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_tricolor","Sturnidae","Passeriformes",124.2,89,"Grassland","Omnivore","Omnivore",22.9,NA,NA,0,0,NA,NA,NA,NA
"Acridotheres_tristis","Sturnidae","Passeriformes",139.8,116.4,"Human Modified","Carnivore","Omnivore",23.6,1,1,1,1,"1",NA,2.56928,NA
"Acritillas_indica","Pycnonotidae","Passeriformes",88.2,30.6,"Forest","Herbivore","Omnivore",15.7,0,0,0,0,NA,NA,NA,NA
"Acrobatornis_fonsecai","Furnariidae","Passeriformes",62.9,13.7,"Forest","Carnivore","Invertivore",21.2,NA,NA,0,0,NA,NA,NA,NA
"Acropternis_orthonyx","Rhinocryptidae","Passeriformes",94.8,89.9,"Forest","Carnivore","Invertivore",5.5,NA,NA,0,0,NA,NA,NA,NA
"Actenoides_bougainvillei","Alcedinidae","Coraciiformes",129,188,"Forest","Carnivore","Invertivore",18.9,0,0,0,0,NA,NA,NA,NA
"Actenoides_capucinus","Alcedinidae","Coraciiformes",147.7,150,"Forest","Carnivore","Invertivore",19.2,0,0,0,0,NA,NA,NA,NA
"Actenoides_concretus","Alcedinidae","Coraciiformes",110.8,73.5,"Forest","Carnivore","Invertivore",21.5,0,0,0,0,NA,NA,NA,NA
"Actenoides_excelsus","Alcedinidae","Coraciiformes",126.5,188,"Forest","Carnivore","Invertivore",18.1,0,0,0,0,NA,NA,NA,NA
"Actenoides_hombroni","Alcedinidae","Coraciiformes",120.4,117,"Forest","Carnivore","Invertivore",22.5,0,0,0,0,NA,NA,NA,NA
"Actenoides_lindsayi","Alcedinidae","Coraciiformes",106,92.8,"Forest","Carnivore","Invertivore",20.1,0,0,0,0,NA,NA,NA,NA
"Actenoides_monachus","Alcedinidae","Coraciiformes",140.4,150,"Forest","Carnivore","Invertivore",19.1,0,0,0,0,NA,NA,NA,NA
"Actenoides_princeps","Alcedinidae","Coraciiformes",113.1,105,"Forest","Carnivore","Invertivore",23,0,0,0,0,NA,NA,NA,NA
"Actenoides_regalis","Alcedinidae","Coraciiformes",115,105,"Forest","Carnivore","Invertivore",23,0,0,0,0,NA,NA,NA,NA
"Actinodura_egertoni","Leiotrichidae","Passeriformes",85,36,"Shrubland","Omnivore","Invertivore",10.8,NA,NA,0,0,NA,NA,NA,NA
"Actinodura_radcliffei","Leiotrichidae","Passeriformes",89,38.4,"Forest","Carnivore","Invertivore",7.8,NA,NA,0,0,NA,NA,NA,NA
"Actinodura_ramsayi","Leiotrichidae","Passeriformes",88.5,38.4,"Forest","Carnivore","Invertivore",7.2,NA,NA,0,0,NA,NA,NA,NA
"Actinodura_sodangorum","Leiotrichidae","Passeriformes",85.5,38.4,"Forest","Carnivore","Invertivore",15.2,NA,NA,0,0,NA,NA,NA,NA
"Aegolius_acadicus","Strigidae","Strigiformes",135.2,100.7,"Forest","Carnivore","Vertivore",29.8,0,1,0,1,"0",2857.14,3.48096,3.16
"Aegolius_funereus","Strigidae","Strigiformes",169.1,137.2,"Forest","Carnivore","Vertivore",31.5,0,1,0,1,"0",NA,4.16472,NA
"Aegolius_harrisii","Strigidae","Strigiformes",150.1,120,"Forest","Carnivore","Vertivore",27.1,0,0,0,0,NA,NA,NA,NA
"Aegolius_ridgwayi","Strigidae","Strigiformes",138.3,80,"Forest","Carnivore","Vertivore",24.9,NA,NA,0,0,NA,NA,NA,NA
"Aegypius_monachus","Accipitridae","Accipitriformes",734.2,9320.6,"","Scavenger","Scavenger",41.1,1,1,1,1,"1",23946.24,NA,26.45
"Aethopyga_bella","Nectariniidae","Passeriformes",41.4,4,"Forest","Omnivore","Omnivore",15.8,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_boltoni","Nectariniidae","Passeriformes",49.4,7.1,"Forest","Omnivore","Omnivore",16.9,0,1,0,1,"0",NA,NA,NA
"Aethopyga_christinae","Nectariniidae","Passeriformes",47.8,5.2,"Forest","Herbivore","Omnivore",18.2,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_duyvenbodei","Nectariniidae","Passeriformes",53.1,6,"Forest","Omnivore","Omnivore",19,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_eximia","Nectariniidae","Passeriformes",53.3,5.2,"Forest","Omnivore","Omnivore",14.2,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_flagrans","Nectariniidae","Passeriformes",45.9,6.7,"Forest","Omnivore","Nectarivore",13.7,NA,NA,0,0,NA,NA,NA,NA
"Aethopyga_gouldiae","Nectariniidae","Passeriformes",54.5,5,"Forest","Omnivore","Nectarivore",21.1,0,0,0,0,NA,NA,NA,NA
